db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n342010474,Harry Potter and the Chamber of Secrets PB,98,5,2014,384,Bloomsbury,beletrie,anglické</p>,,"Harry Potter can't wait for his holidays with the dire Dursleys to end. But a small, self-punishing house-elf warns Harry of mortal danger awaiting him at Hogwarts. Returning...",167,269,"['Bloomsbury, beletrie', '', 'anglické']"
n158518819,Hanging,0,0,2014,416,Bloomsbury,beletrie,anglické</p>,,"On a cold Monday morning before school begins, two children make a gruesome discovery. Hanging from the roof of the school gymnasium are the bodies of five naked and heavily...",185,274,"['Bloomsbury, beletrie', '', 'anglické']"
n170974529,Dead and Buried,0,0,2014,336,Bloomsbury,beletrie,anglické</p>,,"It's been five years since Rose's mother Kathy went missing and, after recent events, all Rose wants to do is get on with her life. Which means taking a break from her...",168,248,"['Bloomsbury, beletrie', '', 'anglické']"
n545343292,She Rises - Kate Worsley,0,0,2014,432,Bloomsbury,beletrie,anglické</p>,,"Louise Fletcher, a young dairy maid on an eighteenth-century Essex farm, has long been warned of the lure of the sea – after all, it stole away her father and brother. But when...",206,300,"['Bloomsbury, beletrie', '', 'anglické']"
n180268436,The Lowland - Jhumpa Lahiri,0,0,2014,416,Bloomsbury,beletrie,anglické</p>,,"From Subhash's earliest memories, at every point, his brother was there. In the suburban streets of Calcutta where they wandered before dusk and in the hyacinth-strewn ponds...",186,199,"['Bloomsbury, beletrie', '', 'anglické']"
n159115136,When Mr Dog Bites,0,0,2014,320,Bloomsbury,beletrie,anglické</p>,,"Dylan Mint has Tourette's. His life is a constant battle to keep the bad stuff in - the swearing, the tics, the howling dog that seems to escape whenever he gets stressed......",379,379,"['Bloomsbury, beletrie', '', 'anglické']"
n225368780,Princess of the Silver Woods - J. George,0,0,2014,352,Bloomsbury,beletrie,anglické</p>,,"When Petunia, the youngest of King Gregor\'s twelve dancing daughters, is invited to visit an elderly friend in the neighboring country of Westfalin, she welcomes the change of...",248,248,"['Bloomsbury, beletrie', '', 'anglické']"
n184244629,Harry Potter and the Philosopher´s Stone,99,14,2014,352,Bloomsbury,beletrie,anglické</p>,,První díl oblíbeného fantasy příběhu o Harrym Potterovi a jeho přátelích. Kniha je v angličtině. Harry Potter has never even heard of Hogwarts when the letters start dropping...,148,303,"['Bloomsbury, beletrie', '', 'anglické']"
n342010474,Harry Potter and the Chamber of Secrets PB,98,5,2014,384,Bloomsbury,beletrie,anglické</p>,,"Harry Potter can't wait for his holidays with the dire Dursleys to end. But a small, self-punishing house-elf warns Harry of mortal danger awaiting him at Hogwarts. Returning...",167,269,"['Bloomsbury, beletrie', '', 'anglické']"
n158518819,Hanging,0,0,2014,416,Bloomsbury,beletrie,anglické</p>,,"On a cold Monday morning before school begins, two children make a gruesome discovery. Hanging from the roof of the school gymnasium are the bodies of five naked and heavily...",185,274,"['Bloomsbury, beletrie', '', 'anglické']"
