db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n191480695,The World Of Ice And Fire,95,3,2014,336,Slovart,beletrie,George R. R. Martin</p>,,"The never-before-seen history of Westeros and the lands beyond. With hundreds of pages of all-new material from George R.R. Martin. If the past is prologue, then George R. R....",631,944,"['Slovart, beletrie', '', 'anglické, George R. R. Martin']"
n185030458,"The Best of Me, Film Tie-In. Mein Weg zu dir, englische Ausgabe",0,0,2014,336,Slovart,beletrie,Nicholas Sparks</p>,,"Autor : Nicholas Sparks,  
 The new epic love story by the bestselling author of The Lucky One and The Notebook They were teenage sweethearts from opposite sides of the tracks...",200,299,"['Slovart, beletrie', '', 'anglické, Nicholas Sparks']"
n45073361,On the Road: The Original Scroll - Jack Kerouac,100,1,2014,416,Slovart,beletrie,Jack Kerouac</p>,,"On the Road by Jack Kerouac is the exhilarating novel that defined the Beat Generation and is a 2012 major motion picture starring Kristen Stewart, Kirsten Dunst and Sam Riley,...",216,363,"['Slovart, beletrie', '', 'anglické, Jack Kerouac']"
n160919911,Americanah (Chimamanda Ngozi Adichie),0,0,2014,400,Slovart,beletrie,Chimamanda Ngozi Adichie</p>,,"From the award-winning author of 'Half of a Yellow Sun,' a powerful story of love, race and identity. As teenagers in Lagos, Ifemelu and Obinze fall in love. Their Nigeria is...",196,300,"['Slovart, beletrie', '', 'anglické, Chimamanda Ngozi Adichie']"
n162640618,Half Bad - Sally Green,100,1,2014,400,Slovart,beletrie,Sally Green</p>,,"Half Bad by Sally Green is a breathtaking debut novel about one boy's struggle for survival in a hidden society of witches. 

You can't read, can't write, but you heal fast,...",195,275,"['Slovart, beletrie', '', 'anglické, Sally Green']"
n91475226,Burton on Burton,0,0,2014,320,Slovart,beletrie,Salisbury Mark</p>,,"Tim Burton is one of the great modern-day visionaries of cinema, a director who has fabricated his own deliciously nightmarish universe in movies as extraordinary as...",398,626,"['Slovart, beletrie', '', 'anglické, Salisbury Mark']"
n449303616,To Kill a Mockingbird - Harper Lee,0,0,2014,320,Slovart,beletrie,Harper Lee</p>,,"Harper Lee´s novel, published in 1960, has been the centre of controversy again of late, with the question of its appearance on UK schools´ reading lists. For me, it´s no...",199,241,"['Slovart, beletrie', '', 'anglické, Harper Lee']"
n152348772,Night Music,0,0,2014,416,Slovart,beletrie,Jojo Moyes</p>,,"A wonderful, emotionally rich novel of the power of mother love, by the author of THE LAST LETTER FROM YOUR LOVER.
The 2008 novel Night Music by Jojo Moyes, the bestselling...",178,275,"['Slovart, beletrie', '', 'anglické, Jojo Moyes']"
n163779429,Tales from the Underworld,0,0,2014,320,Slovart,beletrie,Hans Falada</p>,,"Autor : Hans Fallada, Popis : 
 These are darkly funny, searingly honest short stories from Hans Fallada, author of bestselling Alone in Berlin. In these stories, criminals...",213,302,"['Slovart, beletrie', '', 'anglické, Hans Falada']"
n110362078,Murder Stone,0,0,2014,432,Slovart,beletrie,Louise Penny</p>,,"The fourth Chief Inspector Gamache title, reissued by Sphere
It's the height of summer, and the wealthy Finney family have gathered at the Manoir Bellechasse to pay tribute to...",233,314,"['Slovart, beletrie', '', 'anglické, Louise Penny']"
