db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n166824208,Božský hráč Christina Laurenová,90,11,2014,352,Jota,beletrie,české</p>,,"Božský hráč

Známe už Božského bastarda. Poznali jsme Božského cizince. A teď nadešel ten pravý čas poznat Willa, Božského hráče.

Po tom, co Hanně Bergstromové její...",223,348,"['Jota, beletrie', '', 'české']"
n460848662,Božský cizinec - Christina Lauren,93,4,2014,320,Jota,beletrie,české</p>,,"Božský cizinec 

Božský cizinec stojí na druhém místě nejlépe prodávaných sérií v New York Times. Volné pokračování knihy Božský bastard.
Po otevření nové pobočky společnosti...",223,313,"['Jota, beletrie', '', 'české']"
n274418262,"Pohřbeni v oblacích - Zuckerman Peter, Padoan Amanda",73,2,2014,320,Jota,beletrie,české</p>,,"V srpnu 2008 zahynulo na K2 za jediný den jedenáct horolezců. O lezcích ze západního světa, ať už o těch, kteří přežili, nebo o těch, kteří zahynuli, byla napsána hromada knih...",200,338,"['Jota, beletrie', '', 'české']"
n259854391,Mitsuko,90,3,2014,432,Jota,beletrie,české</p>,,"Mitsuko Aoyama, provdaná ke konci 19. století za rakousko-uherského diplomata hraběte Heinricha Coudenhove-Kalergi, byla jednou z prvních Japonek, jež přicestovaly do Evropy....",256,398,"['Jota, beletrie', '', 'české']"
n156462383,Ostrov kostí,100,1,2014,400,Jota,beletrie,české</p>,,"Anatom a detektiv amatér Gabriel Crowther žije v domnění, že léto roku 1783 bude stejné jako ta ostatní, svěží a voňavé, a že jej stráví bádáním ve své pracovně. Dostane se mu...",216,313,"['Jota, beletrie', '', 'české']"
n454368423,Božský cizinec - Christina Laurenová,98,2,2014,320,Jota,beletrie,české</p>,,"Božský cizinec 

Božský cizinec stojí na druhém místě nejlépe prodávaných sérií v New York Times. Volné pokračování knihy Božský bastard.
Po otevření nové pobočky společnosti...",241,348,"['Jota, beletrie', '', 'české']"
n191480729,Zloděj příběhů,0,0,2014,336,Jota,beletrie,české</p>,,"Patrick Rush od dětství chová ambice stát se spisovatelem. Běžné životní starosti mu nedovolují, aby se této své touze věnoval naplno. Poté, co ovdoví, zůstává sám s milovaným...",59,279,"['Jota, beletrie', '', 'české']"
n198832477,Muzeum prazvláštních věcí,0,0,2014,356,Jota,beletrie,české</p>,,"V0238192
Láska mezi snem a tvrdou realitou. Takový je příběh dvou mladých lidí setkávajících se v New Yorku na počátku dvacátého století, ve městě, které prochází bouřlivým...",299,309,"['Jota, beletrie', '', 'české']"
n215262913,Rozluštěno - Jia Mai,0,0,2014,408,Jota,beletrie,české</p>,,"Napínavý psychologický thriller na pozadí skutečných historických událostí.

Mimořádně oblíbený čínský spisovatel Mai Jia, jehož předchozí knihy se staly předlohou televizních...",88,88,"['Jota, beletrie', '', 'české']"
n722586315,Ta druhá zapisovatelka - Suzanne Rindellová,0,0,2014,352,Jota,beletrie,české</p>,,"Černá komedie z pulzujícího New Yorku dvacátých let S měnící se rolí ženy v moderním světě přicházejí nové, dosud neznámé a vzrušující výzvy Rose Bakerová pečetí lidské osudy –...",79,80,"['Jota, beletrie', '', 'české']"
