db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n224213862,Vraždy v kruhu / Muž na dně - Iva Procházková,92,4,2014,335,Paseka,beletrie,české</p>,,"Autor : Iva Procházková, Popis : 
 Kriminální román Ivy Procházkové je předehrou seriálu Vraždy v kruhu s Ivanem Trojanem, Richardem Krajčem a Hanou Vagnerovou v hlavních...",185,249,"['Paseka, beletrie', '', 'české']"
n362877054,Bohové Gothamu - Lyndsay Fayeová,100,1,2014,376,Paseka,beletrie,české</p>,,Špičková historická detektivka z New Yorku poloviny 19. století. V tom horkém srpnu 1845 se začaly dít strašné věci. Vyplašená desetiletá dívenka uprchla z nevěstince celá...,149,299,"['Paseka, beletrie', '', 'české']"
n273914756,Dech tmy,93,0,2014,326,Paseka,beletrie,české</p>,,"S Nikolajem zvaným Kolyma, literárním alter egem italského spisovatele ruského původu Nicolaie Lilina, se čeští čtenáři mají možnost setkat už potřetí. Kolymova pikareskní...",231,329,"['Paseka, beletrie', '', 'české']"
n259847137,Dobrodružství milovníka knih Charlie Lovett,100,2,2014,351,Paseka,beletrie,české</p>,,"Peter Byerly vlastně ani nevěděl, jak se dostal právě do tohoto antikvariátu. Před devíti měsíci jím otřásla smrt jeho milované manželky Amandy, přestěhoval se ze Severní...",200,289,"['Paseka, beletrie', '', 'české']"
n206236627,Longbourn. Utajené osudy a lásky hrdinů románu Pýcha a předsudek - Jo Bakerová - Paseka,0,0,2014,336,Paseka,beletrie,české</p>,,"Mistrovský historický román inspirovaný dílem Jane Austenové. Sára si zvykla dřít do úmoru a oplátkou dostávat pramálo. Jenomže každodenní život služebnictva, jehož pravidla...",249,299,"['Paseka, beletrie', '', 'české']"
n274418487,Larsmo Ola: Zrádci Kniha,0,0,2014,446,Paseka,beletrie,české</p>,,"Duben 1940. Dánsko i Norsko jsou okupovány. To, na co se Úřad připravoval, se dramaticky blíží. Charlie Westerholm, novopečený důstojník tajné služby, neví, co se od něj...",168,299,"['Paseka, beletrie', '', 'české']"
n282732819,"Nepřítel, přítel, ctitel, milenec, manžel - Munroová Alice",80,1,2014,335,Paseka,beletrie,české</p>,,"Světoznámá kanadská prozaička potvrzuje ve své druhé česky vydané knize pověst skvělé vypravěčky, především však neobyčejně vnímavé a citlivé pozorovatelky: příběhy jejích...",232,299,"['Paseka, beletrie', '', 'české']"
n298713259,Útěk - Munroová Alice,0,0,2014,320,Paseka,beletrie,české</p>,,"Osm nových povídek přední kanadské prozaičky se důvěrně známým, a přece pokaždé fascinujícím způsobem věnuje především tématu lásky a vášně a s nimi spojených radostných i...",232,299,"['Paseka, beletrie', '', 'české']"
n631007467,Kanada,0,0,2014,400,Paseka,beletrie,české</p>,,"„Nejprve vám povím o loupeži, jíž se dopustili naši rodiče. Pak o vraždách spáchaných později,“ začíná líčení příběhu svého dospívání ve stínu rodinné tragédie hlavní hrdina...",53,53,"['Paseka, beletrie', '', 'české']"
n232735044,Vyšinutí,0,0,2014,328,Paseka,beletrie,české</p>,,"Stopy vedou do Stockholmu, na místo temnější než peklo. Dánský kriminalista Thomas Ravnsholdt, přezdívaný Havran, se jen stěží vypořádává se smrtí své ženy, kterou neznámý...",195,355,"['Paseka, beletrie', '', 'české']"
n173462846,Einsteinova krev,0,0,2014,360,Paseka,beletrie,české</p>,,"Krátce před nástupem Adolfa Hitlera k moci najdou dva chlapci v lese za Berlínem nahou, zřejmě umírající dívku. Poté, co se probere z bezvědomí, mladá žena neví, kdo je, trpí...",260,333,"['Paseka, beletrie', '', 'české']"
n274417516,Co skrývá tvé jméno Clara Sánchezová,100,2,2014,376,Paseka,beletrie,české</p>,,"Třicetiletá Sandra žije osaměle v malém domku u moře, kam utekla z Madridu. Čeká dítě s mužem, kterého nemiluje, a přemýšlí, co si dál počít se svým životem. Náhodně se seznámí...",269,269,"['Paseka, beletrie', '', 'české']"
n224014105,Syn londýnské City - Tom Pollock,0,0,2014,352,Paseka,beletrie,české</p>,,"V podzemí Londýna je skryté město plné přízraků a zázraků, kde spolu bojují strašidelné vlakové soupravy, obrovští pavouci se živí lidským hlasem, sochy v sobě skrývají dávné...",249,269,"['Paseka, beletrie', '', 'české']"
n272323915,Jak se rodí sériový vrah,0,0,2014,364,Paseka,beletrie,české</p>,,"Odsouzen za osm vražd, dalších pětadvacet přiznání k soudu nedospělo. Thomase Quicka znají média jako švédského Hannibala Lectera, zločince, jehož hrůzné činy přesahují běžnou...",375,375,"['Paseka, beletrie', '', 'české']"
