db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n210398380,"Tráva. Kompletní průvodce světem marihuany v medicíně, vědě, kultuře a politice - Julie Holland - Pragma",93,1,2014,450,Pragma,naučná,české</p>,,Tráva kniha od autora MUDr. Holland Julie a kolektiv. Rozsáhlá knihy Julie Hollandové seznámí srozumitelnou formou laiky i odbornou veřejnost s léčebnými i škodlivými účinky...,149,348,"['Pragma, naučná', '', 'české']"
n172906888,"365 způsobů jak vychovat sebejisté dítě Sheila Allison, Barbara Ann Barnett",0,0,2014,369,Pragma,naučná,české</p>,,"Společné dílo matky čtyř dětí a klinické psycholožky 365 způsobů jak vychovat sebejisté dítě je snahou pomoci rodičům v jejich cestě. Vše, co rodiče udělají, co řeknou, čemu...",173,205,"['Pragma, naučná', '', 'české']"
n182413487,Láska a nenávist v La Lize - Sid Lowe,0,0,2014,404,Pragma,naučná,české</p>,,"Láska a nenávist v La Lize kniha od autora Lowe Sid. Barcelona vs. Real Madrid
Je to Messi proti Ronaldovi, Katalánsko proti Kastilii. Je to národ proti státu, bojovníci za...",285,285,"['Pragma, naučná', '', 'české']"
n230467842,Vishwanan Sri Swami: Jen láska 2 - Esence všeho Kniha,0,0,2014,324,Pragma,naučná,české</p>,,"Jen láska 2

Tato kniha obsahuje vše, celý vesmír. Popisují Lásku, která se řešila již dříve – a nakonec tu není nic nového, co by bylo třeba dodat k posvátným písmům Západu i...",139,240,"['Pragma, naučná', '', 'české']"
n201694414,Moudrost těla - Walter B. Cannon,0,0,2014,344,Pragma,naučná,české</p>,,"Klasické lékařské dílo zkoumající homeostázu – mechanismus, kterým tělo samočinně udržuje hodnoty látek, které jsou důležité a nezbytné pro udržení života v těle. Autor...",149,240,"['Pragma, naučná', '', 'české']"
n210175020,"Nevysvětlené fenomény lidské mysli - Telepatie, předtuchy, sedmý smysl",0,0,2014,352,Pragma,naučná,české</p>,,"Možná považujete jevy jako telepatie či předvídání budoucnosti za nadpřirozené či neexistující. Tato kniha vám však s pomocí vědeckých metod dokáže, že jsou naopak naší...",194,194,"['Pragma, naučná', '', 'české']"
n210398380,"Tráva. Kompletní průvodce světem marihuany v medicíně, vědě, kultuře a politice - Julie Holland - Pragma",93,1,2014,450,Pragma,naučná,české</p>,,Tráva kniha od autora MUDr. Holland Julie a kolektiv. Rozsáhlá knihy Julie Hollandové seznámí srozumitelnou formou laiky i odbornou veřejnost s léčebnými i škodlivými účinky...,149,348,"['Pragma, naučná', '', 'české']"
n172906888,"365 způsobů jak vychovat sebejisté dítě Sheila Allison, Barbara Ann Barnett",0,0,2014,369,Pragma,naučná,české</p>,,"Společné dílo matky čtyř dětí a klinické psycholožky 365 způsobů jak vychovat sebejisté dítě je snahou pomoci rodičům v jejich cestě. Vše, co rodiče udělají, co řeknou, čemu...",173,205,"['Pragma, naučná', '', 'české']"
n182413487,Láska a nenávist v La Lize - Sid Lowe,0,0,2014,404,Pragma,naučná,české</p>,,"Láska a nenávist v La Lize kniha od autora Lowe Sid. Barcelona vs. Real Madrid
Je to Messi proti Ronaldovi, Katalánsko proti Kastilii. Je to národ proti státu, bojovníci za...",285,285,"['Pragma, naučná', '', 'české']"
n230467842,Vishwanan Sri Swami: Jen láska 2 - Esence všeho Kniha,0,0,2014,324,Pragma,naučná,české</p>,,"Jen láska 2

Tato kniha obsahuje vše, celý vesmír. Popisují Lásku, která se řešila již dříve – a nakonec tu není nic nového, co by bylo třeba dodat k posvátným písmům Západu i...",139,240,"['Pragma, naučná', '', 'české']"
n201694414,Moudrost těla - Walter B. Cannon,0,0,2014,344,Pragma,naučná,české</p>,,"Klasické lékařské dílo zkoumající homeostázu – mechanismus, kterým tělo samočinně udržuje hodnoty látek, které jsou důležité a nezbytné pro udržení života v těle. Autor...",149,240,"['Pragma, naučná', '', 'české']"
