db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n439190442,Honící psi - Jorn Lier Horst,0,0,2016,379,KNIHA ZLÍN,beletrie,české</p>,,"Po sedmnácti letech je znovu otevřen případ vraždy mladé dívky s tím, že rozhodující důkaz, který vedl k usvědčení pachatele, byl zfalšován. Vrchní komisař William Wisting je...",251,369,"['KNIHA ZLÍN, beletrie', '', 'české']"
n344808813,Lotosové blues,0,0,2016,400,KNIHA ZLÍN,beletrie,české</p>,,"Venku lije jako z konve a do advokátní kanceláře Martina Bennera přijde zoufalý muž, který tvrdí, že jeho sestra potřebuje pomoc. Má to ale jeden háček. Jeho sestra je totiž...",33,232,"['KNIHA ZLÍN, beletrie', '', 'české']"
n476689872,Miovo blues brož. – Ohlssonová Kristina,100,2,2016,354,KNIHA ZLÍN,beletrie,české</p>,,"Autor : Kristina Ohlssonová, Popis : 
 Kam se poděl Mio? Co se vlastně stalo poslední den, kdy byl ve školce? Advokát Martin Benner je proti své vůli zatažen do pátrání po...",180,259,"['KNIHA ZLÍN, beletrie', '', 'české']"
n375137920,Kniha zvláštních nových věcí - Michel Faber,98,1,2016,452,KNIHA ZLÍN,beletrie,české</p>,,"Peter Leigh je misionář, který se má vydat na nejdůležitější cestu svého života. Opustí tak svou milovanou manželku Beu a po dlouhém letu dorazí na vzdálenou planetu, kde...",229,449,"['KNIHA ZLÍN, beletrie', '', 'české']"
n412005432,Zářivý anděl - Nelson DeMille,0,0,2016,358,KNIHA ZLÍN,beletrie,české</p>,,DeMillův mrazivý a prorocký román proniká pod povrch nové studené války mezi Ruskem a Spojenými státy. Po střetu s nechvalně proslulým jemenským teroristou známým Panter odešel...,271,351,"['KNIHA ZLÍN, beletrie', '', 'české']"
n397238149,Miovo blues - Kristina Ohlssonová,0,0,2016,354,KNIHA ZLÍN,beletrie,české</p>,,"Kde je Mio? Co se vlastně stalo poslední den u Mia ve školce? Martin Benner je proti své vůli zatažen do pátrání po čtyřletém zmizelém chlapci. Dokud ho nenajde, nenechá ho...",257,333,"['KNIHA ZLÍN, beletrie', '', 'české']"
n359142733,Touhy Džendeho Džongy,0,0,2016,408,KNIHA ZLÍN,beletrie,české</p>,,"Džende Džonga emigroval z Kamerunu do New Yorku, aby zajistil sobě, své ženě a synovi lepší budoucnost. Po několika měsících téměř otrocké práce se na něj usměje štěstí a získá...",54,330,"['KNIHA ZLÍN, beletrie', '', 'české']"
n412026970,La Loba - Alan Russell,0,0,2016,368,KNIHA ZLÍN,beletrie,české</p>,,"V rozmezí tří let se v hlubinách zmrzlé Aljašky ztratí dvě mladé ženy. Tváří v tvář nehostinné krajině je ruka zákona liknavá a nedůsledná, ale sewardský seržant Hamilton a...",203,369,"['KNIHA ZLÍN, beletrie', '', 'české']"
n428997314,Hush baby - Johanna Holmströmová,0,0,2016,366,KNIHA ZLÍN,beletrie,české</p>,,"Vrakören je vilová čtvrť na pobřeží, na půl cesty mezi Borga a Helsinkami. Zapadlá čtvrť s hrstkou domů a temně šumícím lesem. Perfektní místo pro dobrodružství, ale také...",274,350,"['KNIHA ZLÍN, beletrie', '', 'české']"
n412270079,Rozkazy z Berlína - Simon Tolkien,0,0,2016,352,KNIHA ZLÍN,beletrie,české</p>,,Strhující thriller z období druhé světové války se odehrává v roce 1940. Po pádu Francie je Londýn dnem i nocí bombardován německými vzdušnými silami a dvojitý agent zavrtaný v...,195,389,"['KNIHA ZLÍN, beletrie', '', 'české']"
n362820554,Nultá hodina - Lotta Lundbergová,0,0,2016,344,KNIHA ZLÍN,beletrie,české</p>,,Rok 1945. Spisovatelka Hedwig Lohmannová míří z bombardováním zničeného Berlína do kláštera. Její dcera se před několika lety vydala na pouť peklem. Kde se nachází teď? Je...,271,359,"['KNIHA ZLÍN, beletrie', '', 'české']"
