db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n388873759,Smrtící sliby,97,2,2016,356,Metafora,beletrie,české</p>,,"Záhadný případ Evy Dallasové… nebezpečí číhá v minulosti.
Na počátku stojí krabice, adresovaná Evě. V ní najde zbraň, odznak, průkaz Amaryllis Coltraineové a vzkaz od vraha:...",217,329,"['Metafora, beletrie', '', 'české']"
n409123065,Slib - Robert Crais,100,1,2016,376,Metafora,beletrie,české</p>,,"Elvis Cole, Joe Pike, Scott James a legendární policejní pes Maggie tentokrát pohromadě. Na stopě teroristů…
Když si soukromého detektiva Elvise Colea najme žena znepokojená...",197,269,"['Metafora, beletrie', '', 'české']"
n673172397,Ekbergová Anna - Ztracená,0,0,2016,360,Metafora,beletrie,české</p>,,"Dánský milostný thriller o rodinných poutech, smrti i osudové vášni.
Příběh, který může směle konkurovat Hitchcockovu filmu Marnie.

Brilantní dánský thriller o chamtivosti,...",230,349,"['Metafora, beletrie', '', 'české']"
n692478734,"GRADA Publishing, a. s. Nepřátelé a milenci",0,0,2016,376,Metafora,beletrie,české</p>,,"Důvěra je nejcennější komodita… Švédský román o pomstě, intrikách ve světě byznysu a zakázané lásce.

V nelítostném světě švédských financí se nevyzná nikdo lépe než David...",250,379,"['Metafora, beletrie', '', 'české']"
n369803047,Nejmenuji se Miriam,80,1,2016,376,Metafora,beletrie,české</p>,,"Z pekla německých koncentráků si nese tajemství, o němž dokáže promluvit až před smrtí.
Od autorky bestselleru DUBNOVÁ ČARODĚJKA
Miriam Adolfsson slaví pětaosmdesáté...",230,349,"['Metafora, beletrie', '', 'české']"
n421693621,Sběratelka parfémů,100,1,2016,320,Metafora,beletrie,české</p>,,"Dva životy, dvě ženy, současnost i minulost v Paříži, ztracené tajemství vepsané v parfémech…

Nedávno provdaná Grace Munroeová nezapadá do společenské smetánky Londýna...",192,349,"['Metafora, beletrie', '', 'české']"
n455315135,Vějíř s kosatci - Rowlandová Laura Joh,0,0,2016,366,Metafora,beletrie,české</p>,,"Sano Ičiró stojí před nejnebezpečnějším případem své kariéry. Kdo se pokusil zavraždit šóguna?

Jsme v Japonsku, píše se rok 1709… Šógun je starý a nemocný. Sano Ičiró, kdysi...",191,349,"['Metafora, beletrie', '', 'české']"
n408818640,Slib - Robert Crais,0,0,2016,376,Metafora,beletrie,české</p>,,"Elvis Cole, Joe Pike, Scott James a legendární policejní pes Maggie tentokrát pohromadě. Na stopě teroristů…
Když si soukromého detektiva Elvise Colea najme žena znepokojená...",230,299,"['Metafora, beletrie', '', 'české']"
n417200725,Sběratelka parfémů,0,0,2016,320,Metafora,beletrie,české</p>,,"Dva životy, dvě ženy, současnost i minulost v Paříži, ztracené tajemství vepsané v parfémech…

Nedávno provdaná Grace Munroeová nezapadá do společenské smetánky Londýna...",195,349,"['Metafora, beletrie', '', 'české']"
n692478736,Nepřátelé a milenci - Simona Ahrnstedt,0,0,2016,384,Metafora,beletrie,české</p>,,"Důvěra je nejcennější komodita… Švédský román o pomstě, intrikách ve světě byznysu a zakázané lásce. V nelítostném světě švédských financí se nevyzná nikdo lépe než David...",258,379,"['Metafora, beletrie', '', 'české']"
