db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n521328909,Paris for One and Other Stories Jojo Moyes,0,0,2017,359,Penguin Books,beletrie,anglické</p>,,"Moyes somehow manages to break your heart before restoring your faith in love Sunday Express
A collection of 11 unmissable short stories from the number 1 internationally...",159,286,"['Penguin Books, beletrie', '', 'anglické']"
n497292312,Leaders Eat Last - Simon Sinek,0,0,2017,350,Penguin Books,beletrie,anglické</p>,,"The New York Times bestseller by the acclaimed, bestselling author of Start With Why and Together is Better. Now with a new chapter on millennials in the workplace, based on...",229,327,"['Penguin Books, beletrie', '', 'anglické']"
n485999906,Power,0,0,2017,338,Penguin Books,beletrie,anglické</p>,,"WINNER of the THE 2017 BAILEYS WOMEN'S PRIZE FOR FICTION
What if the power to hurt were in women's hands? Suddenly - tomorrow or the day after - teenage girls find that with a...",178,269,"['Penguin Books, beletrie', '', 'anglické']"
n522715365,Turtles All the Way Down John Green Hardcover,0,0,2017,336,Penguin Books,beletrie,anglické</p>,,"It all begins with a fugitive billionaire and the promise of a cash reward. Turtles All the Way Down is about lifelong friendship, the intimacy of an unexpected reunion, Star...",239,428,"['Penguin Books, beletrie', '', 'anglické']"
n464391394,The Upside of Unrequited (Becky Albertalli),0,0,2017,358,Penguin Books,beletrie,anglické</p>,,"Seventeen-year-old Molly Peskin-Suso knows all about unrequited love-she's lived through it twenty-six times. She crushes hard and crushes often, but always in secret. Because...",155,260,"['Penguin Books, beletrie', '', 'anglické']"
n491415471,Three Daughters of Eve,0,0,2017,368,Penguin Books,beletrie,anglické</p>,,"Set across Istanbul and Oxford, from the 1980s to the present day, Three Daughters of Eve is a sweeping tale of faith and friendship, tradition and modernity, love and an...",175,286,"['Penguin Books, beletrie', '', 'anglické']"
n476762698,Evicted,0,0,2017,432,Penguin Books,beletrie,anglické</p>,,'Essential. A compelling and damning exploration of the abuse of one of our basic human rights: shelter.' Owen Jones Arleen spends nearly all her money on rent but is kicked...,253,378,"['Penguin Books, beletrie', '', 'anglické']"
n465257198,Dear Amy: The Sunday Times Bestselling Psycho... (Helen Callaghan),0,0,2017,347,Penguin Books,beletrie,anglické</p>,,"Would you risk your life to save a stranger? Discover what happens next in the Sunday Times bestselling psychological thriller, Dear Amy ...A local schoolgirl has been missing...",177,286,"['Penguin Books, beletrie', '', 'anglické']"
n466150408,My Sisters Bones - Nuala Ellwood,0,0,2017,388,Penguin Books,beletrie,anglické</p>,,"When I wake, I'm lying in a heap on the living-room floor. The smell of blood lingers in my nostrils. Then, as I come back to consciousness, I hear it: thud, thud. There's...",287,443,"['Penguin Books, beletrie', '', 'anglické']"
n454279352,My Sweet Revenge (Jane Fallon),0,0,2017,412,Penguin Books,beletrie,anglické</p>,,"The bestselling author of Getting Rid of Matthew and Strictly Between Us tells a bitter-sweet tale of high passions, infidelity and revenge. Watch your back ...I want to make...",174,286,"['Penguin Books, beletrie', '', 'anglické']"
