db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n491777750,Rich People Problems (A Novel) (Kevin Kwan),0,0,2017,404,Random House,beletrie,anglické</p>,,"When Nicholas Young hears that his grandmother, Su Yi, is on her deathbed, he rushes to be by her bedside—but he's not alone. It seems the entire Shang-Young clan has convened...",289,431,"['Random House, beletrie', '', 'anglické']"
n441530952,Class: What She Does Next Will Astound You,0,0,2017,352,Penguin Random House,beletrie,anglické</p>,,"Autor : James Goss, Popis : 
 ¨We want your stunts, your dares, your whatevs. There is only one rule. There is no such thing as oversharing.’ 

 At Coal Hill School, things...",183,239,"['Penguin Random House, beletrie', '', 'anglické']"
n578582466,Mythos,0,0,2017,432,Penguin Random House,beletrie,anglické</p>,,"The Greek myths are amongst the greatest stories ever told, passed down through millennia and inspiring writers and artists as varied as Shakespeare, Michelangelo, James Joyce...",400,400,"['Penguin Random House, beletrie', '', 'anglické']"
n452607165,Into the Water - Paula Hawkins,60,1,2017,368,Random House,beletrie,anglické</p>,,"The addictive new psychological thriller from the author of The Girl on the Train, the runaway Sunday Times No. 1 bestseller and global phenomenon.

In the last days before her...",199,435,"['Random House, beletrie', '', 'anglické']"
n488628237,Conclave,0,0,2017,384,Random House,beletrie,anglické</p>,,"SUNDAY TIMES BESTSELLER. ""Unputdownable."" (Guardian). ""Gripping."" (Sunday Times). The Pope is dead. Behind the locked doors of the Sistine Chapel, one hundred and eighteen...",132,260,"['Random House, beletrie', '', 'anglické']"
n520636829,Line of Fire: Nick Stone Thriller 19 Paper... Andy McNab,0,0,2017,366,Random House,beletrie,anglické</p>,,Nick Stone is back in an up-to-the-minute thriller - ripped fresh from the headlines. Stone has returned to London. Both the UK and the US are in a state of unrest and ever...,341,457,"['Random House, beletrie', '', 'anglické']"
n673228298,Thrice the Brinded Cat Hath Mew\'d - Alan Bradley,0,0,2017,331,Random House,beletrie,anglické</p>,,"In spite of being ejected from Miss Bodycote\'s Female Academy in Canada, twelve-year-old Flavia de Luce is excited to be sailing home to England. But instead of a joyous...",161,221,"['Random House, beletrie', '', 'anglické']"
n461208054,The Book of Mirrors - Eugen Ovidiu Chirovici,0,0,2017,336,Random House,beletrie,anglické</p>,,"ONE MAN'S TRUTH IS ANOTHER MAN'S LIE. When big-shot literary agent Peter Katz receives an unfinished manuscript entitled The Book of Mirrors, he is intrigued. The author,...",359,431,"['Random House, beletrie', '', 'anglické']"
n673230251,Dead Letters - Caite Dolan-Leach,0,0,2017,352,Random House,beletrie,anglické</p>,,"Ava Antipova has her reasons for running away: a failing family vineyard, a romantic betrayal, a mercurial sister, an absent father, a mother slipping into dementia. In Paris,...",443,443,"['Random House, beletrie', '', 'anglické']"
n673233170,The Light We Lost - Jill Santopolo,0,0,2017,400,Random House,beletrie,anglické</p>,,"He was the first person to inspire her, to move her, to truly understand her. Was he meant to be the last? Lucy is faced with a life-altering choice. But before she can make...",692,692,"['Random House, beletrie', '', 'anglické']"
