db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n675405969,Bourneův rébus,93,5,2017,424,Domino,beletrie,české</p>,,"Jason Bourne má pouhé čtyři dny na to, aby zabránil globální katastrofě. 

Jason Bourne přijel do Moskvy na svatbu svého starého přítele, tajného agenta Borise Karpova. Do...",38,349,"['Domino, beletrie', '', 'české']"
n676036328,Co jsme si neřekli,80,3,2017,344,Domino,beletrie,české</p>,,"Temně humorný příběh o manželství v krizi, který zcela jistě zarezonuje v každém, kdo si někdy nějakou partnerskou krizí prošel. (Takže i ve vás.)

Po dvou letech bolestného...",23,339,"['Domino, beletrie', '', 'české']"
n717156146,Prozření,0,0,2017,400,Domino,beletrie,české</p>,,"Autor : Jessica Shattuck, Popis : 
 Na troskách nacistického Německa se Marianna von Lingenfelsová snaží splnit slib, který dala svému muži, popravenému za spoluúčast při...",119,332,"['Domino, beletrie', '', 'české']"
n717159103,Dítě – Barton Fiona,0,0,2017,416,Domino,beletrie,české</p>,,"Dvacet let pohřbené hrůzné tajemství. Tři ženy, kterých se bezprostředně týká. A nespočet démonů, které i nyní vyvolává... 

 Ten starý dům stál v části Londýna, kterou...",119,332,"['Domino, beletrie', '', 'české']"
n676238964,Léto plné neskutečných věcí - Coleman Rowan,0,0,2017,456,Domino,beletrie,české</p>,,"Před třiceti lety se Lunině matce stala děsivá věc. Natolik děsivá, že si ji nechala celý život pro sebe. Pravda vyšla najevo až nyní, po její smrti.
Odhalení matčina tajemství...",79,349,"['Domino, beletrie', '', 'české']"
n707610387,"Beck Haylen: Byly tady, a už nejsou",100,1,2017,352,Domino,beletrie,české</p>,,"Audra v sobě konečně našla dost odvahy, aby utekla od násilnického manžela. Teď sedí v autě, na zadních sedačkách jsou připoutány její malé děti, a společně jedou vstříc své...",79,349,"['Domino, beletrie', '', 'české']"
n522627724,Nakladatelství DOMINO s.r.o. Odvrácená strana konce,97,5,2017,423,Domino,beletrie,české</p>,,"„Chci, abyste mi někoho našel. Měl byste ale vědět, že ten člověk možná nikdy neexistoval.

Harry Bosch se po třiceti letech u policie stal soukromým detektivem. Stále však...",175,349,"['Domino, beletrie', '', 'české']"
n466955852,Zasluhuje zemřít - Jackson Lisa,0,0,2017,416,Domino,beletrie,české</p>,,"Můžete utíkat. Můžete se skrývat. Ale minulost vás stejně dostihne.

Sleduje, jak se do vody pozvolna noří tělo té, kterou kdysi miloval. Už nikdy nebude tak krásná jako dřív,...",277,314,"['Domino, beletrie', '', 'české']"
n533560896,Templ ářské dědictví - 3. vydání,100,2,2017,361,Domino,beletrie,české</p>,,"Cotton Malone býval špičkovým agentem na americkém ministerstvu spravedlnosti. Pak se však rozhodl udělat za svou dosavadní kariérou tlustou čáru, odstěhoval se do Kodaně, stal...",277,314,"['Domino, beletrie', '', 'české']"
n477741908,Jákobovy barvy - Hawdon Lindsay,0,0,2017,376,Domino,beletrie,české</p>,,"Pokud na vás hluboce zapůsobil Schindlerův seznam, Sophiina volba nebo Nabarvené ptáče, pak byste si neměli nechat ujít ani tento silný a nesmírně emotivní román.

Jákob,...",79,349,"['Domino, beletrie', '', 'české']"
n461015261,Znesvětitel,0,0,2017,448,Domino,beletrie,české</p>,,"I ten nejzrůdnější zločin může zprvu vypadat jako nešťastná náhoda.

V předvánočním čase se dá zažít ledacos. Třeba zemřít velmi bizarním způsobem: zazděný v komíně, na sobě...",277,314,"['Domino, beletrie', '', 'české']"
n707610120,Zmizelý - Taylor C. L.,0,0,2017,432,Domino,beletrie,české</p>,,"Pouto mezi matkou a dítětem je nezničitelné. Co když ale matka cosi děsivého skrývá?

Čtrnáctiletý Billy uprostřed noci záhadně zmizel z domu. Každý člen rodiny to klade za...",277,349,"['Domino, beletrie', '', 'české']"
n716151438,Neobyčejná dobrodružství - Daniel Wallace,0,0,2017,384,Domino,beletrie,české</p>,,"Edsel Bronfman je nevýrazný, ostýchavý mladík, který má v životě rád jednoduchý řád. Všechen svůj čas dělí mezi práci řadového referenta a svou matku, jejíž záviděníhodnou...",79,109,"['Domino, beletrie', '', 'české']"
n522627736,"Nakladatelství DOMINO s.r.o. Budu vším, čím mě chceš mít",0,0,2017,358,Domino,beletrie,české</p>,,"Novodobá Lolita je mrtvá. A ve městě jsou hned tři lidé, kteří měli dobrý důvod ji zabít.

Hattie Hoffmanová se během svého krátkého života úspěšně zhostila mnoha rolí: byla...",119,312,"['Domino, beletrie', '', 'české']"
n732386224,Klub zabijáků,0,0,2017,446,Domino,beletrie,české</p>,,"Že po někom jdeš, ještě zdaleka neznamená, že on nejde po tobě.

Pro detektiva Marka „Hecka"" Heckenburga to byl nejprve obyčejný pracovní den. Právě vyšetřoval tři vraždy na...",277,349,"['Domino, beletrie', '', 'české']"
