db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n467456290,Zkrocení markýze z Raventhorne - Stephanie Laurens,100,1,2017,400,HarperCollins,beletrie,české</p>,,"Mary vždy dostane to, co chce! A nejen proto, že je Cynsterová…

Poslední svobodná dívka z rodu Cynsterů přece nemůže zůstat na ocet! Mary je rozhodnutá vzít osud do vlastních...",194,299,"['HarperCollins, beletrie', '', 'české']"
n569911560,Výhodný obchod - Robertsová Nora,90,3,2017,416,HarperCollins,beletrie,české</p>,,"2 příběhy v 1 knížce

Správná volba
Lee je úspěšná novinářka v prestižním časopise a práce je její jedinou radostí. Teď má před sebou velkou profesní výzvu – napsat článek o...",194,299,"['HarperCollins, beletrie', '', 'české']"
n467456289,Aféry privilegovaných - Nora Roberts,100,1,2017,400,HarperCollins,beletrie,české</p>,,"Skandál v knížectví
Princezna Gabriela z knížectví Cordina uteče ze zajetí, ale na cestě k rodině má nehodu a ztratí paměť. A únosci jsou stále na svobodě! Proto jejímu otci...",66,268,"['HarperCollins, beletrie', '', 'české']"
n474578876,Cesta za láskou - Nora Roberts,80,2,2017,416,HarperCollins,beletrie,české</p>,,"Špionka v paláci 
 Princ Bennett byl vždy tak trochu černou ovcí cordinské knížecí rodiny. Pro vyhlášeného sukničkáře jsou na prvním místě ženy, koně, psi i zábava a láska je...",75,299,"['HarperCollins, beletrie', '', 'české']"
n579177541,Dům špionů - Daniel Silva,93,1,2017,448,HarperCollins,beletrie,české</p>,,"Jeden z nejlepších autorů špionážních románů Daniel Silva přichází s dalším, v pořadí již sedmnáctým thrillerem s dnes již legendárním Gabrielem Allonem, šéfem izraelské tajné...",189,299,"['HarperCollins, beletrie', '', 'české']"
n532115770,Pošetilý sen - Robertsová Nora,80,1,2017,384,HarperCollins,beletrie,české</p>,,"Nezáleží na tom, jak je David atraktivní a charismatický – Megan si prostě nemůže dovolit, aby se do něj zamilovala!. Ví totiž, že mu nejde o ni, ale jen o zábavní park, který...",194,299,"['HarperCollins, beletrie', '', 'české']"
n481154305,Srdce rebelky - Nora Roberts,80,1,2017,320,HarperCollins,beletrie,české</p>,,"Skotsko, 1745 . Na pozadí osudové bitvy u Cullodenu na Skotské vysočině, v níž jakobitská vojska utrpěla porážku od Angličanů, se odehrává jiný souboj – mezi mužem a ženou,...",191,299,"['HarperCollins, beletrie', '', 'české']"
n468119399,Dýchej za mě - V žáru bezpečí 4 (Maya Banksová),95,2,2017,336,HarperCollins,beletrie,české</p>,,"Agentka Eliza se odvážně vrhá do všech úkolů, i přes děsivé tajemství ze své minulosti. Kdysi se ocitla v moci zločince, kterého se jí podařilo dostat za mříže, jenže teď je...",199,299,"['HarperCollins, beletrie', '', 'české']"
n542058967,Skryt á čísla - Margot Lee Shetterly,0,0,2017,400,HarperCollins,beletrie,české</p>,,"Pravdivý příběh tří Afroameričanek, jež se zapsaly do dějin NASA jako tzv. lidské počítače. Matematičky černé pleti Dorothy Vaughanová, Mary Jacksonová a Katherine Johnsonová...",227,349,"['HarperCollins, beletrie', '', 'české']"
n719859187,Žhavé doteky - Nora Robertsová,0,0,2017,416,HarperCollins,beletrie,české</p>,,"2 příběhy v 1 knížce

 Zaostřeno na lásku
 Úspěšná fotografka Bryan má před sebou zajímavý úkol: společně s Shadeem Colbym zdokumentovat americké horké léto. Před sebou mají...",75,269,"['HarperCollins, beletrie', '', 'české']"
