db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n556649674,Harry Potter a vězeň z Azkabanu - ilustrované vydání - Joanne Kathleen Rowling,99,41,2017,336,Albatros,dětské,Joanne K. Rowlingová,české,Kniha má lehce naražený horní roh vazby. Poškození je minimální. Harry Potter a jeho kamarádi Ron a Hermiona jsou už ve třetím ročníku bradavické Školy čar a kouzel. Harry se...,306,427,"['dětské', '', 'Albatros, Joanne K. Rowlingová, české']"
n464108777,Fantastická zvířata a kde je najít - filmový scénář J. K. Rowlingová,87,24,2017,384,Albatros,dětské,Rowlingová Joanne K.,české,"Všichni víme, co se stalo v Bradavicích za doby, kdy zde studoval Harry, Ron a Hermiona a všemu velel Brumbál. Ale zdá se, že to je jen konec příběhu. Jeho začátek najdeme v...",238,332,"['dětské', '', 'Albatros, Rowlingová Joanne K., české']"
n497037591,Faja - Petra Stehlíková,98,12,2017,450,Host,dětské,Petra Stehlíková,české,"Když Petra Stehlíková vydala román Naslouchač, setkal se s velice pozitivním hodnocením u čtenářů. Faja je druhým dílem série fantasy z postapokalyptické budoucnosti. 
 Po...",220,349,"['dětské', '', 'Host, Petra Stehlíková, české']"
n553511764,Bradavická knihovna - BOX - J. K. Rowlingová,98,7,2017,432,Albatros,dětské,Joanne K. Rowlingová,české,"Povinná součást každé kouzelnické knihovny. Všechny tři legendární knihy z Bradavické školní knihovny v jednom boxu: Fantastická zvířa a kde je najít, Bajky Barda Beedleho i...",594,699,"['dětské', '', 'Albatros, Joanne K. Rowlingová, české']"
n459045882,Čáry života - Veronica Roth,63,3,2017,424,COOBOO,dětské,Veronica Roth,české,"Zapomeň na svou čest. Musíš jen přežít! Nová knižní série od autorky Divergence.

Ve světě, kde vládne násilí a právo silnějšího, v galaxii, v které mnozí trpí, má každý člověk...",204,270,"['dětské', '', 'COOBOO, Veronica Roth, české']"
n552156091,Harry Potter a vězeň z Azkabanu - Rowlingová Joanne Kathleen,94,8,2017,392,Albatros,dětské,Joanne K. Rowlingová,české,"Albatros Harry Potter a vězeň z Azkabanu (2017)

Čeká na tebe napínavé čtení o kouzelníkovi Harry Potterovi, který bojuje se zlem a proti tomu o kom se nesmí mluvit. Po jeho...",251,351,"['dětské', '', 'Albatros, Joanne K. Rowlingová, české']"
n509474320,Velká kniha českých pohádek - Pavel Šrut,100,8,2017,320,Pikola,dětské,Pavel Šrut,české,"Velká kniha českých pohádek kniha od autora Šrut Pavel. Svět víl a kouzelníků, skřítků a vodníků, statečných princů a krásných zakletých princezen, hloupých i prohnaných čertů,...",276,353,"['dětské', '', 'Pikola, Pavel Šrut, české']"
n531363502,365 pohádek do postýlky - autorů kolektiv,89,12,2017,376,Egmont,dětské,autorů kolektiv,české,Pohádky od Disneyho na každý den v roce!. 365 nejkrásnějších příběhů Přečtěte si každý den jednu zábavnou pohádku na motivy filmů společnosti Disney! Navštivte s námi znovu...,278,399,"['dětské', '', 'Egmont, autorů kolektiv, české']"
n556460074,Ztřeštěný dům na stromě - 26 pater - Griffiths Andy,92,5,2017,352,Sun,dětské,Andy Griffiths,české,"Pojďte se s námi podívat za Andym a Terrym do jejich nově rozšířeného šestadvacetipatrového domu na stromě!

 Andy a Terry přidali dalších třináct zbrusu nových pater,...",154,237,"['dětské', '', 'Sun, Andy Griffiths, české']"
n514063699,Ledová krev - Elly Blake,100,2,2017,320,COOBOO,dětské,Elly Blake,české,"Vládne ohni, ale žije v krutém světě, kde vládne led. První díl nové série Ledové krve. Říká se, že protiklady se přitahují. Někdy to ale neplatí! Ruby, která vládne ohni, žije...",204,299,"['dětské', '', 'COOBOO, Elly Blake, české']"
