db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n579716268,Válka Severu proti Jihu - Josef Opatrný,0,0,2017,384,Karolinum,naučná,české</p>,,"Kniha je věnována nejsledovanějšímu období dějin Spojených států, k němuž vycházejí jen v USA desítky knižních publikací každým rokem. Nezabývají se jen válečnými událostmi,...",289,390,"['Karolinum, naučná', '', 'české']"
n604473755,Ruská agrese proti Ukrajině,0,0,2017,346,Karolinum,naučná,české</p>,,"Ruská agrese proti Ukrajině představuje patrně největší výzvu evropské bezpečnosti od roku 1945. Nejenže ztělesňuje útok na samotné základy systému mezinárodního práva, ale i s...",289,390,"['Karolinum, naučná', '', 'české']"
n490540080,Nahlédnutí do středověku,100,1,2017,392,Karolinum,naučná,české</p>,,"Protimluvy v titulu nemají jen upoutat pozornost příštích čtenářů. Větší část knihy spojuje poznání, že mnohé ve středověku bylo jinak, než by se na první pohled zdálo....",305,430,"['Karolinum, naučná', '', 'české']"
n673172418,"Ikonografie: témata, motivy, interpretace - Na okraj šedesátin Jana Royta - Lubomír Konečný",0,0,2017,360,Karolinum,naučná,české</p>,,"Porozumnění smyslu uměleckých děl je jedním z největších dobrodružství, jaké dějiny umění nabízejí. Ikonografický výklad a interpretace obrazů, soch i staveb představuje...",296,380,"['Karolinum, naučná', '', 'české']"
n479163998,Balkán ve 20. století - Miroslav Tejchman,70,1,2017,438,Karolinum,naučná,české</p>,,Kniha přehledně a poutavě seznamuje čtenáře se složitou a stále živou problematikou jihovýchodní Evropy. Vnitřní členění do pěti částí postihuje složitý vývoj balkánských zemí...,382,420,"['Karolinum, naučná', '', 'české']"
n389710169,Fiktivní a imaginární - Wolfgang Iser,0,0,2017,378,Karolinum,naučná,české</p>,,Klasické dílo známého kostnického profesora anglistiky a literární vědy ukazuje v historické i systematické perspektivě dvě klíčové kategorie zakládající literaturu. V pozadí...,270,390,"['Karolinum, naučná', '', 'české']"
n521321993,S papírem do nedohledna - Richard Khel,0,0,2017,434,Karolinum,naučná,české</p>,,"Publikace je volným pokračováním knih Poselství papíru, Papír všude a se vším, Na papíře napsáno a vytištěno. Přináší ve více než 150 populárněvědeckých statích,...",289,390,"['Karolinum, naučná', '', 'české']"
n389710170,Základy očního lékařství - Jiří Pašta a kolektív,0,0,2017,336,Karolinum,naučná,české</p>,,"Kniha e určena hlavně pro bakalářské zdravotnické profese, ale poskytne základní přehled oftalmologické problematiky i studentům magisterských zdravotnických oborů. Vznikla na...",314,420,"['Karolinum, naučná', '', 'české']"
n495084763,Kolektivizace venkova v Horním Polabí,100,1,2017,350,Karolinum,naučná,české</p>,,"Československá společnost procházela po komunistickém převratu v únoru 1948 velmi obtížnou etapou, v níž probíhala rozsáhlá sociální transformace, celková přestavba ekonomiky a...",242,411,"['Karolinum, naučná', '', 'české']"
n516099972,Ze světa podnikání do světa plánované distribuce - Jan Slavíček,0,0,2017,396,Karolinum,naučná,české</p>,,"Proměny spotřebního družstevnictví v letech 1945-1956 na příkladu severních Čech

Kniha se zabývá proměnami obsahu, forem a rolí českého spotřebního družstevnictví v letech...",278,395,"['Karolinum, naučná', '', 'české']"
n501048083,Prezidentství Baracka Obamy: naplněné vize?,0,0,2017,354,Karolinum,naučná,české</p>,,"Vdechnul Barack Obama v úřadu prezidenta Spojených států amerických (2009–2017) život svým vizím? Stal se tím, na koho aspiroval, tedy transformačním prezidentem, který vlije...",216,390,"['Karolinum, naučná', '', 'české']"
n673227156,"Záhady kolem sňatku Anny Kateřiny Šporkové - Ignác Antonín Hrdina, Hedvika Kuchařová",0,0,2017,352,Karolinum,naučná,české</p>,,"Provdat dceru (snad proti její vůli) nekompetentním knězem, tedy proti všem církevním předpisům a absolutně neplatně, a teprve následně (a to úspěšně) usilovat o zplatnění...",281,380,"['Karolinum, naučná', '', 'české']"
n627165117,Poznámky k revoluční akci v Chicagu 1914 - 1918 - Josef Ženka,0,0,2017,400,Karolinum,naučná,české</p>,,"Český Američan Alois Richard Nykl (1885–1958) se do historie zapsal především jako lingvista, polyglot a orientalista. Po své devítileté pouti světem se v roce 1916 vrátil do...",314,420,"['Karolinum, naučná', '', 'české']"
n488428839,Rituály souhlasu (Sacvan Bercovitch),0,0,2017,438,Karolinum,naučná,české</p>,,Syntetická práce předního amerického literárního a kulturního historika židovského původu se zabývá vznikem a transformacemi Ameriky jako kulturního symbolu. Hlavním přínosem...,363,490,"['Karolinum, naučná', '', 'české']"
