db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n661986702,Uncommon Type - Tom Hanks,0,0,2018,416,Arrow Books,beletrie,anglické</p>,,"A collection of seventeen wonderful short stories showing that two-time Oscar winner Tom Hanks is as talented a writer as he is an actor. A hectic, funny sexual affair between...",163,301,"['Arrow Books, beletrie', '', 'anglické']"
n594299136,Ready Player One Film Tie In - Cline Ernest,0,0,2018,384,Arrow Books,beletrie,anglické</p>,,"Autor : Ernest Cline, Popis : 
 It's the year 2044, and the real world has become an ugly place. We're out of oil. We've wrecked the climate. Famine, poverty, and disease are...",131,284,"['Arrow Books, beletrie', '', 'anglické']"
n639927079,Munich - Robert Harris,0,0,2018,448,Arrow Books,beletrie,anglické</p>,,"FROM THE BESTSELLING AUTHOR OF FATHERLAND, CONCLAVE AND AN OFFICER AND A SPY.

September 1938
Hitler is determined to start a war.
Chamberlain is desperate to preserve the...",139,259,"['Arrow Books, beletrie', '', 'anglické']"
n673238605,The Word is Murder - Anthony Horowitz,0,0,2018,400,Arrow Books,beletrie,anglické</p>,,"She Planned her Own Funeral. But did she Arrange her Murder? Buried secrets, murder and a trail of bloody clues lie at the heart of Anthony Horowitz’s page-turning new...",195,224,"['Arrow Books, beletrie', '', 'anglické']"
n398148764,Vintage Wedding,0,0,2018,416,Arrow Books,beletrie,anglické</p>,,"A vintage wedding, romance, and a happy-ever-after ending - what more could you want from the 'modern-day Jane Austen'?In a small Cotswold country town, Beth, Lindy and Rachel...",182,246,"['Arrow Books, beletrie', '', 'anglické']"
n635897107,Red Sky at Noon - Simon Sebag Montefiore,0,0,2018,416,Arrow Books,beletrie,anglické</p>,,"`An epic adventure story set against the most awful war in history. Ridiculously good Dan Snow

 The black earth was already baking and the sun was just rising when they...",172,284,"['Arrow Books, beletrie', '', 'anglické']"
n601092345,Secret Garden,0,0,2018,400,Arrow Books,beletrie,anglické</p>,,Will opening the door lead to love and happy endings? In Katie Fforde\'s brand new novel for 2017. In spite of everything her heart lifted a little as she opened the gate to...,178,235,"['Arrow Books, beletrie', '', 'anglické']"
n606047847,Die Last,0,0,2018,384,Arrow Books,beletrie,anglické</p>,,"12 Dead Girls As dawn breaks on a snowy February morning, a refrigerated lorry is found parked in the heart of London's Chinatown. Inside, twelve women, apparently illegal...",178,235,"['Arrow Books, beletrie', '', 'anglické']"
n652515595,The People vs. Alex Cross - James Patterson,0,0,2018,432,Arrow Books,beletrie,anglické</p>,,"The charges: explosive Alex Cross has never been on the wrong side of the law – until now. Charged with gunning down followers of his nemesis Gary Soneji in cold blood, Cross...",199,217,"['Arrow Books, beletrie', '', 'anglické']"
n664670619,NYPD Red 5,0,0,2018,384,Arrow Books,beletrie,anglické</p>,,The one who knows the secrets is the one who holds the power. The richest of New York's rich gather at The Pierre's Cotillion Room to raise money for those less fortunate. The...,204,305,"['Arrow Books, beletrie', '', 'anglické']"
n673504433,"The Innocent Wife - Lloyd, Amy",0,0,2018,336,Arrow Books,beletrie,anglické</p>,,"You\'re in love with a man on Death Row in Florida, convicted of a brutal murder twenty years ago. You\'re convinced he didn’t do it, and you\'re determined to prove it....",223,246,"['Arrow Books, beletrie', '', 'anglické']"
n635204199,Cottage by the Sea,0,0,2018,386,Arrow Books,beletrie,anglické</p>,,"A seaside town helps one young woman rediscover hope and healing in a brand-new novel from bestselling author Debbie Macomber. Rocked by tragedy, Annie Marlow returns to the...",211,233,"['Arrow Books, beletrie', '', 'anglické']"
n673236901,Don\'t Let Go - Harlan Coben,0,0,2018,372,Arrow Books,beletrie,anglické</p>,,"A Small Town is Hiding Big Secrets. Fifteen years ago in New Jersey, a teenage boy and girl were found dead. Most people concluded it was a tragic suicide pact. The dead boy's...",200,235,"['Arrow Books, beletrie', '', 'anglické']"
n688578792,Christmas Stocking and Other Stories,0,0,2018,432,Arrow Books,beletrie,anglické</p>,,"Delve inside this Christmas Stocking choc-full of perfectly themed, never-before-published seasonal short stories perfect for anyone who loves romance, humour and...",226,247,"['Arrow Books, beletrie', '', 'anglické']"
n654127744,Believe In Me,0,0,2018,416,Arrow Books,beletrie,anglické</p>,,"Do you believe in second chances? Leanne and her family have many issues, but they're still family. Their crazy but idyllic home in the rural hamlet of Ash Morley is a place...",232,246,"['Arrow Books, beletrie', '', 'anglické']"
n704435436,Girl On Fire,0,0,2018,416,Arrow Books,beletrie,anglické</p>,,"When terrorists use a drone to bring down a plane on one of London's busiest shopping centres, it ignites a chain of events that will draw in the innocent and guilty alike. DC...",222,224,"['Arrow Books, beletrie', '', 'anglické']"
