db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n672428610,Teorie podivnosti - Pavla Horáková,73,1,2018,360,Argo,beletrie,české</p>,,"Vypravěčka Ada Sabová, mladá vědkyně z „Ústavu mezioborových studií člověka“, je v mnohém typickou (nikoli však stereotypní) moderní intelektuálkou, která se pokouší...",267,348,"['Argo, beletrie', '', 'české']"
n616012385,Hastrman - Pavel Růt,98,5,2018,344,Argo,beletrie,české</p>,,"Novodobá utopie, dílo pozdního romantismu, pohádka pro lid držený pod krkem svou vlastní politickou reprezentací - tak lze charakterizovat Hastrmana (2001), potenciální černou...",174,248,"['Argo, beletrie', '', 'české']"
n684722978,Sedm dní spolu - Francesca Hornak,100,1,2018,392,Argo,beletrie,české</p>,,Vánoce. Čas rodinné pohody... nebo taky ne. Zvlášť když jste s celou svou rodinou v karanténě a nemůžete utéct. To pak vyjde najevo ledacos... A právě v takové situaci se...,245,331,"['Argo, beletrie', '', 'české']"
n592296798,Počátek - Dan Brown,93,115,2018,416,Argo,beletrie,české</p>,,"Dan Brown se ve své nejnovější knize Počátek zabývá s oblíbeným symbologem, profesorem Robertem Langdonem, původem vzniku člověka. Je to příběh, ve kterém vědec, futurista a...",323,426,"['Argo, beletrie', '', 'české']"
n638938426,Tisíc tváří hrdiny - Joseph Campbell,0,0,2018,392,Argo,beletrie,české</p>,,"Klasická Campbellova práce uvádí příklady mytických příběhů, ukazuje na nich pravdy skryté za náboženskými a mytologickými postavami a nechává z nich vyplynout obecně platné...",280,398,"['Argo, beletrie', '', 'české']"
n684722969,Na ramenech obrů - Umberto Eco,85,1,2018,448,Argo,beletrie,české</p>,,"Dvanáct textů uveřejněných v knize Na ramenech obrů bylo napsáno pro konferenci La Milanesiana v letech 2001-2015. Jednotlivé přednášky nejčastěji vycházejí z témat, která si...",421,568,"['Argo, beletrie', '', 'české']"
n599658633,Trainspotting - Irvine Welsh,100,1,2018,356,Argo,beletrie,české</p>,,"Autor : Irvine Welsh, Popis : 
 V revidovaném překladu vychází nejslavnější Welshova kniha. Autorovi se v ní podařilo něco nevídaného: vzít téma zralé pro sociologické studie o...",209,283,"['Argo, beletrie', '', 'české']"
n644583611,A uzřela oslice anděla - Nick Cave,0,0,2018,352,Argo,beletrie,české</p>,,"Řada hudebníků v rozhovorech mluvívá o tom, že by jednou chtěli napsat román, že je to ohromně láká - nakonec se však k tomu nikdy nedostanou. Anebo si opravdu čas najdou a...",209,298,"['Argo, beletrie', '', 'české']"
n673237684,Dracula - Bram Stoker,100,1,2018,356,Argo,beletrie,české</p>,,"Dracula / Kniha - Stoker Bram [KNI]
Román Dracula Brama Stokera není třeba dlouze představovat, slyšel o něm snad každý: právě v něm se totiž v dokonalé podobě zrodil moderní...",280,398,"['Argo, beletrie', '', 'české']"
n707711408,Píseň pro Issy Bradleyovou - Carys Brayová,0,0,2018,392,Argo,beletrie,české</p>,,"Je podzim a v přírodě všechno umírá. Jacob má v pokoji mrtvého pavouka schouleného do klubíčka. A na dolní palandě leží schoulená máma, ale o tom se nesmí mluvit. Táta říká, že...",266,378,"['Argo, beletrie', '', 'české']"
