db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n663709003,Kříďák - C.J. Tudor,89,12,2018,320,Kalibr,beletrie,české</p>,,"Autorka knihy Kříďák C.J.Tudor vystřídala několik zaměstnání, od scénáristky po televizní moderátorku, než se po vydání knihy Kříďák stala spisovatelkou na plný úvazek. Od...",316,379,"['Kalibr, beletrie', '', 'české']"
n687776319,Pohřbená pravda - Angela Marsons,96,12,2018,392,Kalibr,beletrie,české</p>,,"Šestý temný detektivní příběh z pera Angely Marsonsové, jejíž prvotina Němý křik, úvodní díl série, se v angličtině prodala už v milionu výtisků.
Nález starých kosterních...",300,350,"['Kalibr, beletrie', '', 'české']"
n664323813,Šelma - Mayne Andrew,88,10,2018,360,Kalibr,beletrie,české</p>,,"Profesor bioinformatiky Theo Cray nemá nejlepší ráno. Automat na led nefunguje, a navíc se mu do motelového pokoje dobývá policie. Že je hlavní podezřelý z brutální vraždy své...",316,399,"['Kalibr, beletrie', '', 'české']"
n680313743,Najdi ji - Lisa Gardner,100,1,2018,416,Kalibr,beletrie,české</p>,,"Kolik toho člověk snese? Své o tom ví Flora, kterou kdysi unesli. Ona však přežila a dnes se snaží pomáhat jiným ztraceným dívkám. Když ovšem detektiva D. D. Warrenovou...",316,399,"['Kalibr, beletrie', '', 'české']"
n668585100,Císařův levoboček - Glockner David,90,1,2018,432,Kalibr,beletrie,české</p>,,"Mladý Tomáš Masaryk je zaměstnán jako hofmistr syna významného vídeňského bankéře. Během návštěvy Lipska, kde slaví první úspěchy svým pojednáním o sebevraždách, však narazí na...",299,399,"['Kalibr, beletrie', '', 'české']"
n668084023,Hádej kdo - McGeorge Chris,0,0,2018,336,Kalibr,beletrie,české</p>,,"Televizní moderátor. Číšnice. Uklízeč. Právník. Herečka. Studentka. Ti všichni jsou zamčení v jednom hotelovém pokoji s mrtvolou muže, jehož každý z nich nějak znal. Ani jeden...",276,332,"['Kalibr, beletrie', '', 'české']"
n680851387,Vdovy - Lynda La Plante,100,1,2018,432,Kalibr,beletrie,české</p>,,"Harry Rawlins byl geniální zločinec, jemuž vždycky všechno vycházelo a policie na něj byla krátká přes dvacet let. Přepadení obrněné dodávky mu mělo vynést další statisíce...",316,399,"['Kalibr, beletrie', '', 'české']"
n664846191,"Pohřešuje se prezident - Patterson James, Clinton Bill",0,0,2018,440,Kalibr,beletrie,české</p>,,"Jeden z nejdramatičtějších, ale především nejautentičtějších thrillerů poslední dekády od bývalého prezidenta USA Billa Clintona a novodobého klasika detektivek Jamese...",278,379,"['Kalibr, beletrie', '', 'české']"
n692920265,Otrávené pírko - Matthew FitzSimmons,0,0,2018,400,Kalibr,beletrie,české</p>,,"Gibson Vaughn má za sebou úspěšný souboj s politickým matadorem Benjaminem Lombardem, život mu však do cesty klade další nástrahy. Když se dozví, že soudce, který mu dal jako...",316,379,"['Kalibr, beletrie', '', 'české']"
n664841028,M ěsto v ohrožení - Pintoffová Stefanie,0,0,2018,416,Kalibr,beletrie,české</p>,,"Za svůj druhý thriller ze současnosti získala Stefanie Pintoffová, autorka románu Rukojmí, prestižní Edgar Award.
Dva dramatické dny na newyorském Manhattanu. Dvě unesené děti....",226,349,"['Kalibr, beletrie', '', 'české']"
