db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n684178966,"Doktore, to je ale mazec! - Patrick Taylor",100,5,2018,440,Leda,beletrie,české</p>,,"Před nějakým časem byl doktor Fingal Flahertie O’Reilly ve své praxi v Ballybucklebo na všechno sám, ale to už neplatí. Nejen že má vedle sebe spolehlivého kolegu Barryho...",216,328,"['Leda, beletrie', '', 'české']"
n637761416,Na prahu ráje - Francis Scott Fitzgerald,0,0,2018,352,Leda,beletrie,české</p>,,"Formát: 14,4 x 20,8 cm
Počet stran: 352
Vazba: pevná

Na prahu ráje, dokonale vystavěný román – výkřik vytrysklý ze srdce třiadvacetiletého F. S. Fitzgeralda – katapultoval...",172,268,"['Leda, beletrie', '', 'české']"
n637710840,"Doktore, fofrem jde o život! - brož. 2 vyd.",0,0,2018,384,Leda,beletrie,české</p>,,"DOKTORE, FOFREM, JDE O ŽIVOT je poutavý kaleidoskop komických příběhů plných laskavého humoru a životní moudrosti, irská obdoba francouzských ZVONOKOS.
 Barry, čerstvý majitel...",97,149,"['Leda, beletrie', '', 'české']"
n658156314,Dcery pana Darcyho - Elizabeth Aston,0,0,2018,416,Leda,beletrie,české</p>,,"ejoblíbenější román anglické klasické literatury, Pýcha a předsudek Jane Austenové, končí – jak jinak – svatbou. Vděční čtenáři, sdružení v literárních společnostech, často o...",172,269,"['Leda, beletrie', '', 'české']"
n664088638,Slečna Darcyová se nevzdává - Elizabeth Aston,0,0,2018,384,Leda,beletrie,české</p>,,"Formát:13,8 x 20,9 cm
Počet stran: 384
Vazba: pevná

Urozená mladá dáma, a stát se malířkou? Dívka z přední rodiny a živit se samostatně štětcem a barvami? V Anglii na počátku...",164,249,"['Leda, beletrie', '', 'české']"
n637761415,Lvíče - Josef Škvorecký,0,0,2018,320,Leda,beletrie,české</p>,,"Formát:138x205mm
Počet stran:320
Vazba:pevná

Který český román obsahuje milostný příběh rozepjatý od cynismu k osudovosti, přitom je humorný, ironický a posléze se promění v...",182,278,"['Leda, beletrie', '', 'české']"
n626438202,Na odvrácené straně - Anthony O´Neill,0,0,2018,432,Leda,beletrie,české</p>,,"Na odvrácené straně Měsíce se nachází Město hříchu založené výstředním miliardářem Fletcherem Mosasem – původně jako trestanecká kolonie pro nejtěžší zločince, nájemné vrahy a...",227,348,"['Leda, beletrie', '', 'české']"
n673235396,Nebezpečná laskavost - Darcey Bell,0,0,2018,352,Leda,beletrie,české</p>,,"JE JEJÍ NEJLEPŠÍ KAMARÁDKA,
SVĚŘILY SI VŠECHNA SVOJE TAJEMSTVÍ.
JENOM JEDNO NE…

Emily je okouzlující žena s oslnivou kariérou v módním oboru a s pohledným manželem Seanem...",223,328,"['Leda, beletrie', '', 'české']"
n657738034,Hra na lháře: Ruth Ware,0,0,2018,408,Leda,beletrie,české</p>,,"V chladném červnovém ránu se na anglickém pobřeží prochází kdosi z místních lidí se psem. Zvíře vyhrabe věc, kterou jeho paní zpočátku považuje za trouchnivou větev, po chvíli...",223,348,"['Leda, beletrie', '', 'české']"
n673131788,Na Větrné hůrce - Emily Brontë,0,0,2018,376,Leda,beletrie,české</p>,,"Slavný romantický a dramatický román Emily Brontëové se odehrává v tajuplném prostředí samoty uprostřed mokřin, kam přichází nový nájemce, aby nečekaně prožil strašidelné noční...",177,268,"['Leda, beletrie', '', 'české']"
n673131787,Ďáblův elixír - Ernst Theodor Wilhelm Hoffmann,0,0,2018,440,Leda,beletrie,české</p>,,"Formát: 13x20 cm
Počet stran: 440
Vazba: pevná

Ďábel kdysi navštívil svatého Antonína, aby ho pokoušel, a zanechal mu láhev zázračného elixíru. Kdo se ho napije, stane se...",172,268,"['Leda, beletrie', '', 'české']"
n673104622,Nebezpečná laskavost filmová obálka - Darcey Bell,0,0,2018,352,Leda,beletrie,české</p>,,"Formát: 13,4x20,3 cm
Počet stran: 352
Vazba: brožovaná

Emily je okouzlující žena s oslnivou kariérou v módním oboru a s pohledným manželem Seanem tvoří pár, kterému leckdo...",182,278,"['Leda, beletrie', '', 'české']"
