db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n45148575,Houbeles pictus - Petr Maděra,95,1,1900,136,slovenské,,"<abbr title=""Počet stran"">136</abbr></p>",,"Poučné básničky, veršované hádanky, mnoho obecných ponaučení zo sveta húb, a zároveň atlas pre najmenších hubárov. To všetko ponúka táto originálna kniha, ktorá na našom trhu...",394,597,"['slovenské, Práh']"
n111065778,Budulínek Pohádka a cvičení + CD,98,3,1900,32,anglické,dětské,"<abbr title=""Počet stran"">32</abbr></p>",,"Pomůcka pro výuku angličtiny na 1. stupni ZŠ.

 Budulínku, dej mi hrášku... Pohádkový příběh o neposedném chlapci a vychytralé lišce představuje naše knížka současně v české i...",38,134,"['anglické, Ottovo nakladatelstvo, dětské']"
n127469132,Jak šlo vejce na vandr Pohádka a cvičení + CD,100,3,1900,32,anglické,dětské,"<abbr title=""Počet stran"">32</abbr></p>",,"Bude-li nás víc, nebudeme se bát vlka nic...

 Pohádkový příběh o vejci, zvířátkách a loupežnících v české i anglické podobě s poutavými obrázky ulehčí a zpestří malým čtenářům...",38,149,"['anglické, Ottovo nakladatelstvo, dětské']"
n64543750,Denník malej blondínky,0,0,1900,216,slovenské,dětské,"<abbr title=""Počet stran"">216</abbr></p>",,"Dnes začínam písať tento denník. Niežeby to bol môj nápad, nepadla som predsa na hlavu. V dnešnej dobe blogov si píše papierový denník len TB (totálny blázon) a HB (Homo blbec)...",91,240,"['slovenské, Ottovo nakladatelstvo, dětské']"
n4415888,Výrazy I. diel (RNDr.Marián Olejár; Iveta Olejárová),0,0,1900,64,slovenské,naučná,"<abbr title=""Počet stran"">64</abbr></p>",,"Kniha obsahuje 980 vyriešených príkladov v desiatich kapitolách. Žiak sa s výrazmi stretáva už od prvého ročníka základnej školy, počas štúdia na strednej a vysokej škole, ale...",56,88,"['slovenské, naučná']"
n188837812,TOPP Wesole zwierzatka,0,0,1900,1,polské,,"<abbr title=""Počet stran"">1</abbr></p>",,"Jazyk: polský
Počet stran: 1
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Nakladatelství ANAGRAM s.r.o.",58,89,"['polské, ANAGRAM']"
n4415890,Limity I. diel (RNDr.Marián Olejár; Iveta Olejárová),0,0,1900,64,slovenské,,"<abbr title=""Počet stran"">64</abbr></p>",,"Zväzok obsahuje 853 vyriešených príkladov. Limity, ako vstupný pojem do diferenciálneho a integrálneho počtu, často robí značné problémy študujúcim. Je to preto, že v zápise a...",56,88,['slovenské']
n4424567,Definičný obor funkcií (RNDr.Marián Olejár; Iveta Olejárová),0,0,1900,64,slovenské,,"<abbr title=""Počet stran"">64</abbr></p>",,"Zväzok obsahuje 853 vyriešených príkladov. Limity, ako vstupný pojem do diferenciálneho a integrálneho počtu, často robí značné problémy študujúcim. Je to preto, že v zápise a...",53,88,['slovenské']
n213895914,75 Years of Marvel Comics,100,1,1900,712,anglické,beletrie,"<abbr title=""Počet stran"">712</abbr></p>",,"From the very first issue of pulp impresario Martin Goodmans Marvel Comics in 1939, the comic book creators of Marvels Golden Age flipped the traditional fantasy script by...",4,4,"['anglické, Taschen, beletrie']"
n227369736,"Bylinky a liečiteľské rady od Julky Ľubica Hybenová, Júlia Strkáčová",0,0,1900,630,slovenské,naučná,"<abbr title=""Počet stran"">630</abbr></p>",,"Liečiteľské dary odovzdávam s láskou a pokorou desiatkam, stovkám ľudí, ktorí vyhľadajú moju pomoc. Nie vždy sa mi podarí prinavrátiť chorým zdravie. Čo ale dávam všetkým bez...",419,648,"['slovenské, Ľubica Hybenová, naučná']"
n569279,Ako prežiť v Austrálii Príbehy spod Južného kríža Michal Rybanský,0,0,1900,216,slovenské,cestopisy,"<abbr title=""Počet stran"">216</abbr></p>",,"Autor knihy je od roku 1999 redaktorom zahraničného spravodajstva Rádiožurnálu Slovenského rozhlasu. Jeho kniha je výpoveďou študenta, ktorý musel v Austrálii čeliť nástrahám,...",200,236,"['slovenské, cestopisy']"
n122307210,Koľko váži Matilda - Jiří Holub,0,0,1900,90,slovenské,dětské,"<abbr title=""Počet stran"">90</abbr></p>",,"Príbeh adoptovaného chlapca Karčiho, ktorý si zaumieni zistiť pre svoju najlepšiu kamarátku Hermínu, koľko váži jeho spolužiačka Matilda. Je to nebezpečná a veľmi bláznivá...",147,172,"['slovenské, Perfekt, dětské']"
