db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n111065778,Budulínek Pohádka a cvičení + CD,98,3,1900,32,dětské,,Ottovo nakladatelstvo,,"Pomůcka pro výuku angličtiny na 1. stupni ZŠ.

 Budulínku, dej mi hrášku... Pohádkový příběh o neposedném chlapci a vychytralé lišce představuje naše knížka současně v české i...",38,134,"['Ottovo nakladatelstvo', 'dětské', 'anglické']"
n127469132,Jak šlo vejce na vandr Pohádka a cvičení + CD,100,3,1900,32,dětské,,Ottovo nakladatelstvo,,"Bude-li nás víc, nebudeme se bát vlka nic...

 Pohádkový příběh o vejci, zvířátkách a loupežnících v české i anglické podobě s poutavými obrázky ulehčí a zpestří malým čtenářům...",38,149,"['Ottovo nakladatelstvo', 'dětské', 'anglické']"
n64543750,Denník malej blondínky,0,0,1900,216,dětské,,Ottovo nakladatelstvo,,"Dnes začínam písať tento denník. Niežeby to bol môj nápad, nepadla som predsa na hlavu. V dnešnej dobe blogov si píše papierový denník len TB (totálny blázon) a HB (Homo blbec)...",91,240,"['Ottovo nakladatelstvo', 'dětské', 'slovenské']"
n274417969,Ottova velká kniha Prvňáček,98,3,1900,160,naučná,,Ottovo nakladatelstvo,,Knížka českých autorek Marie Tetourové a Edity Plickové pomůže všem začínajícím školáčkům. Potěšení a zábavu najdou například v komiksovém seriálu Dům U Pěti rarášků a se...,111,269,"['Ottovo nakladatelstvo', 'naučná', 'české']"
n272251271,Rostliny luk,100,1,1900,552,naučná,,Ottovo nakladatelstvo,,"První svazek šestidílné edice Naše květena je zaměřený na rostliny rostoucí na běžných loukách, zejména v blízkosti vod, v údolích řek, ale i ve městech, na zahradách nebo...",158,359,"['Ottovo nakladatelstvo', 'naučná', 'české']"
n171593871,Křížovky s tajenkou Hrníčkové recepty,0,0,1900,368,křížovky,,Ottovo nakladatelstvo,,"Nevíte, co uvařit k obědu nebo večeři? Přemýšlíte, jakou sladkou tečku nabídnete svým nejbližším ke kávě nebo čaji? Chcete si procvičit mozek po dobrém jídle? Právě vám je...",103,116,"['Ottovo nakladatelstvo', 'křížovky', 'české']"
n44449908,Hatrlo,0,0,1900,184,životopisy,,Ottovo nakladatelstvo,,"Jazyk: slovenský
Počet stran: 184
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Ottovo nakladatelstvo, s.r.o.",91,360,"['Ottovo nakladatelstvo', 'životopisy', 'slovenské']"
n157223940,Popoluška,0,0,1900,10,dětské,,Ottovo nakladatelstvo,,"Sirota, ktorú zlá macocha, princ hľadajúci ozajstnú lásku, tekvica premenená na kočiar a dvanásť úderov o polnoci...

 K tomu trochu snívania a čarovania a máme nádherný príbeh...",92,150,"['Ottovo nakladatelstvo', 'dětské', 'slovenské']"
n66668365,P. D. 38,0,0,1900,72,poezie,,Ottovo nakladatelstvo,,"Šesťdesiat pôsobivých básní, ktoré Mária Demitrová napísala, aby uctila pamiatku dobrého človeka, vynikajúceho hokejistu, svojho manžela Pavla Demitru, vychádza prvýkrát...",130,300,"['Ottovo nakladatelstvo', 'poezie', 'slovenské']"
n120452501,Nebojím sa tmy,0,0,1900,10,dětské,,Ottovo nakladatelstvo,,"Biely deň nás nikdy nevyľaká, cez deň nenarazí nikto do strašiaka. No čierna noc, to je niečo strašné. Len čo sa zošení, vyroja sa príšery. Ideš cez horu, stretneš potvoru,...",92,150,"['Ottovo nakladatelstvo', 'dětské', 'slovenské']"
n274416746,Moja prvá kniha rozprávok + CD - Marie Zahálková; Marie Tichá [SK],0,0,1900,96,dětské,,Ottovo nakladatelstvo,,"Moja prvá kniha rozprávok obsahuje najznámejšie rozprávky v slovenskom a anglickom jazyku.

 Známe príbehy uľahčia malým školákom čítanie v materinskom aj v cudzom jazyku....",174,300,"['Ottovo nakladatelstvo', 'dětské', 'slovenské']"
n197685904,Brazílie 2014,100,1,1900,120,Ottovo nakladatelstvo,,slovenské</p>,,"Kniha přináší nejdůležitější okamžiky, fakta a zajímavosti týkající se mistrovství světa ve fotbale 2014. Pořadatelem jubilejního dvacátého svátku kopané byla Brazílie, země...",296,450,"['Ottovo nakladatelstvo', '', 'slovenské']"
n44655375,Labradorský retriever,0,0,1900,78,naučná,,Ottovo nakladatelstvo,,"Jazyk: slovenský
Počet stran: 78
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Ottovo nakladatelstvo, s.r.o.",103,169,"['Ottovo nakladatelstvo', 'naučná', 'slovenské']"
