db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n247988827,KuliFerdo Zrakové vnímanie II,100,1,1900,0,,,,,Dostupné aj v kolekcii za skvelú cenu. Druhý zošit zo súboru ôsmich pracovných zošitov zameraný na rozvoj školskej zrelosti u detí v predprimárnom vzdelávaní. Súbor je...,52,71,"['Raabe', 'naučná', 'slovenské']"
n247988833,KuliFerdo Sluchové vnímanie,0,0,1900,0,,,,,Dostupné aj v kolekcii za skvelú cenu. Siedmy zošit zo súboru ôsmich pracovných zošitov zameraný na rozvoj školskej zrelosti u detí v predprimárnom vzdelávaní. Súbor je...,52,79,"['Raabe', 'naučná', 'slovenské']"
n248051515,KuliFerdo Zrakové vnímanie I,0,0,1900,0,,,,,"Jazyk: slovenský
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Dr. Josef Raabe Slovensko, s.r.o.",52,79,"['Raabe', 'naučná', 'slovenské']"
n248051519,KuliFerdo Sluchové vnímanie,0,0,1900,0,,,,,"Jazyk: slovenský
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Dr. Josef Raabe Slovensko, s.r.o.",52,79,"['Raabe', 'naučná', 'slovenské']"
n247988829,KuliFerdo Rozvoj myslenia,0,0,1900,0,,,,,Dostupné aj v kolekcii za skvelú cenu. Štvrtý zošit zo súboru ôsmich pracovných zošitov zameraný na rozvoj školskej zrelosti u detí v predprimárnom vzdelávaní. Súbor je...,52,79,"['Raabe', 'naučná', 'slovenské']"
n245559630,Gavorník Peter - Angiológia 2,0,0,1900,174,,,,,"Autor sa aj v tejto druhej časti Angiológie 2 pre všeobecných praktických lekárov - Arteriológie, snažil zužitkovať svoje vyše štyridsaťročné klinické a praktické...",553,841,"['Raabe', 'naučná', 'slovenské']"
n248051511,KuliFerdo Pozornosť I,0,0,1900,0,,,,,"Jazyk: slovenský
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Dr. Josef Raabe Slovensko, s.r.o.",52,79,"['Raabe', 'naučná', 'slovenské']"
n248051512,KuliFerdo Pozornosť II,0,0,1900,0,,,,,"Jazyk: slovenský
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Dr. Josef Raabe Slovensko, s.r.o.",52,79,"['Raabe', 'naučná', 'slovenské']"
n248051513,KuliFerdo Pozornosť III,0,0,1900,0,,,,,"Jazyk: slovenský
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Dr. Josef Raabe Slovensko, s.r.o.",52,79,"['Raabe', 'naučná', 'slovenské']"
n248051517,KuliFerdo Zrakové vnímanie II,0,0,1900,0,,,,,"Jazyk: slovenský
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Dr. Josef Raabe Slovensko, s.r.o.",52,79,"['Raabe', 'naučná', 'slovenské']"
n247988834,KuliFerdo Pozornosť,0,0,1900,0,,,,,Dostupné aj v kolekcii za skvelú cenu. Posledný zošit zo súboru ôsmich pracovných zošitov zameraný na rozvoj školskej zrelosti u detí v predprimárnom vzdelávaní. Súbor je...,51,71,"['Raabe', 'naučná', 'slovenské']"
n247988832,KuliFerdo Orientácia,0,0,1900,0,Raabe,,slovenské</p>,,Dostupné aj v kolekcii za skvelú cenu. Šiesty zošit zo súboru ôsmich pracovných zošitov zameraný na rozvoj školskej zrelosti u detí v predprimárnom vzdelávaní. Súbor je...,52,79,"['Raabe', '', 'slovenské']"
n248525246,Predplavecká príprava v materskej škole,0,0,1900,118,,,,,Publikácia Predplavecká príprava v MŠ - námety a aktivity približuje predplaveckú prípravu detí v materskej škole. Takto zamerané činnosti sa podieľajú pri formovaní celkovej...,560,751,"['Raabe', 'naučná', 'slovenské']"
