db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n41159155,Insolvenční zákon s judikaturou,0,0,1900,484,Wolters Kluwer,,české</p>,,"Komplexní soubor judikatury řazený ve vzájemné provázanosti se samotným textem insolvenčního zákona, jehož výsledkem je snadný a přehledný přístup k aktuální judikatuře v...",444,653,"['Wolters Kluwer', '', 'české']"
n86455055,Krizová připravenost firmy,0,0,1900,184,Wolters Kluwer,,české</p>,,Krizová připravenost firmy se doposud často chápe jako vnitřní záležitost organizace vztahující se zejména ke stavu „ošetřování“ vnitřních (podnikatelských) hrozeb. V širším...,319,399,"['Wolters Kluwer', '', 'české']"
n105484559,Rozhodčí řízení v mezinárodním a vnitrostátním obchodním styku - Rozehnalová Naděžda,0,0,1900,400,naučná,,Wolters Kluwer,,"Třetí vydání úspěšné učebnice seznamuje čtenáře s prostředky k řešení sporu v obchodním styku. Výklad je zaměřen především na rozhodčí řízení v mezinárodním obchodním styku,...",380,662,"['Wolters Kluwer', 'naučná', 'české']"
n45138321,Management Učíme se od těch nejlepších,0,0,1900,400,naučná,,Wolters Kluwer,,"Kniha předního německého odborníka v oblasti managementu klade znepokojivé otázky: Jak si má člověk vysvětlit působivé životní úspěchy tak rozdílných osobností, jako jsou...",484,587,"['Wolters Kluwer', 'naučná', 'české']"
n84616883,O napětí mezi účely práva,0,0,1900,160,naučná,,Wolters Kluwer,,"Kniha shrnuje překlady sedmi základních statí německého právního filozofa Gustava Radbrucha (1878–1949), které dosud nebyly v češtině uvedeny. Jde o studie Účel práva (1932),...",227,320,"['Wolters Kluwer', 'naučná', 'české']"
n23177574,Zvláštnosti makroekonomické politiky zemí Blízkého východu,0,0,1900,160,naučná,,Wolters Kluwer,,"Autor charakterizuje ekonomický systém zemí Blízkého východu, zabývá se zvláštnostmi fiskální a monetární politiky v těchto státech, včetně islámského finančnictví, dopadem...",147,208,"['Wolters Kluwer', 'naučná', 'české']"
n20442106,Politická a ekonomická kultura islámu na Blízkém východě - Mansoor Maitah,0,0,1900,212,Wolters Kluwer,,české</p>,,"Autor v knize zdůrazňuje nutnost alternativních přístupů ke studiu politické kultury islámu a Blízkého východu. Zhodnocuje míru dodržování islámských doktrín a tradic,...",228,260,"['Wolters Kluwer', '', 'české']"
n39165406,Skandinávie Proměny politiky v severských zemích,0,0,1900,320,životopisy,,Wolters Kluwer,,"Snahou autorů je přiblížit různé aspekty skandinávské politiky. Vedle tradičních objektů komparativní politologie se zajímají i o sociálně-ekonomická témata, která jsou pro...",338,380,"['Wolters Kluwer', 'životopisy', 'české']"
n106654091,Zákon o pojistném na důchodové spoření,0,0,1900,252,Wolters Kluwer,,české</p>,,"Publikace slouží jako praktický průvodce při řešení výkladových problémů při aplikaci zákona o pojistném na důchodové spoření pro účastníky důchodového spoření, zaměstnavatele,...",314,399,"['Wolters Kluwer', '', 'české']"
n21577610,Přehled judikatury Evropského soudu pro lidská práva,0,0,1900,224,Wolters Kluwer,,české</p>,,"Publikace je prvním svazkem řady uveřejňující nejvýznamnější rozhodnutí Evropského soudu pro lidská práva. Jedná se o výběr rozhodnutí, která se výrazně zapsala do právního...",217,308,"['Wolters Kluwer', '', 'české']"
n36025141,Státověda,75,1,1900,400,Wolters Kluwer,,české</p>,,Učebnice Státověda je v prvé řadě určena potřebám výuky předmětu Státověda v magisterském studiu na právnických fakultách. Tomuto účelu je proto podřízena její základní...,495,495,"['Wolters Kluwer', '', 'české']"
n173744007,Lichva: trestný čin a společenský jev,0,0,1900,276,naučná,,Wolters Kluwer,,Lichva je v současné společnosti velmi aktuálním problémem. Předkládaná monografie je jedinečným pojednáním o tomto trestném činu a společenském jevu – spojuje pohled...,431,520,"['Wolters Kluwer', 'naučná', 'české']"
n61525186,Moderní personalistika ve službách,0,0,1900,164,Wolters Kluwer,,české</p>,,Kniha Moderní personalistika ve službách se zabývá problematikou personálního řízení v segmentu služeb na úrovni liniového a středního managementu. Nabízí informace potřebné pro...,251,251,"['Wolters Kluwer', '', 'české']"
n20984466,"Obecně prospěšná společnost 3.v. Dvořák, Tomáš",0,0,1900,124,Wolters Kluwer,,české</p>,,"Předkládaná publikace je třetím, doplněným, rozšířeným a aktualizovaným komentářovým vydáním zákona o obecně prospěšných společnostech podle právního stavu účinného ke dni 1....",183,209,"['Wolters Kluwer', '', 'české']"
n45138315,Zákon o vinohradnictví a vinařství,0,0,1900,212,naučná,,Wolters Kluwer,,"Komentář zákona č. 321/2004 Sb., o vinohradnictví a vinařství, ve znění pozdějších předpisů směřuje na výklad podmínek provozování vinohradnictví a vinařství v České republice,...",347,347,"['Wolters Kluwer', 'naučná', 'české']"
